,Ground_truth,Prediction,trial,trial2
1675,"realised it was important enough for her to have remembered , and it","realised it was important enough for her to have remenbered , and it",,
1676,was as though a red mist veiled her usually clear sight and,was as though a red mist weiled her usually cloas sight and,,
1677,made her think there was an abyss immediately ahead .,made her thinh there was an abys immediately chead .,,
1678,""" Nigel , "" she had besought him , "" you know that evening",""" Nigel , "" she had besought him , "" youlnow that evening,",,
1679,you took Luke Parson's surgery and there was a woman,you tooh lake Parson's surgery and there was a woman,,
1680,"with a cyst on her ear ... ? """,with a cyst on hes eas . .. T.l .,,
1681,""" 5Ye-es ? "" he lowered his eyes and kissed her on the",""" sye-es ? ""' he lowered his eyes and trissed her on the",,
1682,"mouth , an act of devotion he didn't over-indulge .","mouth , an act of duotion he didn't over-indulge .",,
1683,""" What about it , my sweet ? "" "" Well , "" she laughed"," What about it , my sweet ? "" "" Well , "" she laughed",,
1684,"suddenly in an upsurging of relief , "" that stupid","suddenly in an upsurging of relief : "" that stupid",,
1685,Gubbins boy thought he saw you at the Load of Trouble .,Gubsins boy thought he saw you at the doad of Trousle .,,
1686,"With a blonde , too . Imagine ! "" Nigel was frowning . He","With a blonde , too . Imagine ! "" nigel was frowming . He",,
1687,looked distinguished when he frowned ; boyishly,clooked distinguished when he frowmed ; boyishly,,
1688,""" Gubbins ? Gubbins ? "" he fretted . "" Who 's he ? """,""" Cubins ? Gubbins ? ' he frettet . "" Who's he ?'",,
1689,Though Diana knew the name of every,Though Diane knen the nase of every,,
1690,"member of the staff , distinguished or not ,","brember of the staft , olrtingesishent on not ",,
1691,Nigel often had to think hard to sort,isel often had to think haval to sost,,
1692,"them out . "" He 's the carrotty lad , isn't he ? ""","them out . "" We's the caroly lace , is t be ? '",,
1693,"he now demanded . "" What was he",he non ocmandur . ' What h as he,,
1694,"doing at the Load of Trouble ? ""","blosing at the Loasd of Prombk ? """,,
1695,I 'm going with a shooting party . What else can I do,I'm going with a shooting parny . What else can ( do,,
1696,at this time of year ? I can't ask you up because it 's,at this time of year ? I can't ask youp because it's,,
1697,"a strictly stag affair . "" "" I know . I didn't expect ... "" "" Well ,","a strictly stag atlair . "" "" I know . Adidn't expect ... . Well ,",,
1698,"don't keep hinting , then . You wish you could","don't keep hinting , then . Yon wish you could",,
1699,come with me ; you hope I 'll miss you ; you,come with me ; you hrope I 'll miss you ; you,,
1700,can't imagine the hospital without me for,can'it magine the hospital without me for,,
1701,"three weeks , etcetera , etcetera ! ""","three weeks , etcelesa , etcelera . '",,
1702,"Her figure was small and exquisite , like a schoolgirl's still , and","Her figure was small and exquisite , like a scholgir's still, and",,
1703,"he admired her legs , which the male sex were inclined to","the admired her legs , which the male sea were indined to",,
1704,"regard first . "" I would mind if you didn't "" he told her","regord first . "" I would mind if you didn't "" he told her",,
1705,"grimly , and tugged her fiercely into his arms . "" You 're","grimly , and tuaged her fiercely into his arms . ' You 're",,
1706,"right , pet . I do need this leave . I 'm bad-tempered and","right , pet . I do neld this leave . I 'm bad-tempered and",,
1707,broody and going out with brash blondes . I don't deserve,broody and going aut with brash blondes . I don't deserve,,
1708,""" Darling ! "" her voiced caressed him . "" Moments like this",""" arling "" her voiced curessed him . "" Moments like this",,
1709,make all the waiting worth while . When we 're,make all the waiting worth while . When we 're,,
1710,"married we won't have these explosions of emotion ,",married we won't have these explasious of enotian .,,
1711,"will we ? "" "" No , "" he eyed her strangely . "" I wish we","will we ? "" "" No , "" he eyed her strangely . "" I wish wse",,
1712,"were married , Di . Like a patient wishes his operation","were marned , Dip like a patient wokes his operation",,
1713,"was over . "" Again her laughter trilled . "" Marriage","was over . "" Again her laughtes trilled . "" Marriage",,
1714,"isn't as bad as an operation , Nigel ! ""","Bu't as bad as an operation , Nigel ! """,,
1715,""" Isn't it ? "" he rose and smoothed himself",""" su't it ? "" he rose and smoothed himself",,
1716,"down . "" Ask any bridegroom-to-be . Anyhow ,","down . "" Ash any bridegroom-to be , Anyhow ,",,
1717,that particular problem isn't looming at,that particular problem isn't looming at,,
1718,"the moment , thank God ! "" Problem ... ?","the moment , thank God ! "" Problem ... .",,
1719,"looming ... ? "" Are we discussing a marriage","looning ... ? "" Are we discussing a merriage",,
1720,"or a burial ? "" she asked , hardly believing","or a burial ? "" she ashed , hardly believing",,
1721,"he could be serious . "" Surely marrying","he could be serious . "" Surely marrying",,
1722,me isn't going to be all that bad ?,me isn't going to be all that bad ?,,
1723,"If it is - "" she laughed uncertainly - "" you can have","of it is - she langned uncertainly - "" you can have",,
1724,"your ring back . "" She loosened the half-hoop of",your ring back . ' She boosened the hay - hoop of,,
1725,diamonds on her left hand third finger and held it,diamonds on her ly hand third jinger and held it,,
1726,"out to him , still playfully . Without a glimmer","but to him , stil playpuly . Witheut a glimmer",,
1727,"of amusement in his own eyes , however , he took","of amusement in his own eyes , newever , he took",,
1728,"it , looking moodily beyond her . "" Perhaps it 's as","t , looking moodily beyand her . "" Perhaps it 's as",,
1729,"well if you don't wear it for a bit , Di , "" he","well if you don's wear it fer a bit , Di , "" he",,
1730,""" But I want it ! "" she protested . "" It 's my ring . """,""" But I want it seh protested . It 's uy riny '",,
1731,""" You just gave it back to me . "" "" I",""" your jut gave it back to me "" "" I",,
1732,didn't ! I was joking . You know I was,"diator' t !. I wrus joting , Yon know I was",,
1733,"joking , Nigel . "" "" You shouldn't joke","yoting , Niset "" "" you shouldn l jot",,
1734,"about serious things like engagements . """,about serivous things like engaguments .,,
1735,""" Don't be such a baby ! "" They were going",""" Don't be such a baby ! "" They were goings",,
1736,to have an open quarrel,"to have , an oper quarmel any",,
1737,"any minute , and she knew it .","pnt , and she inew "" .",,
1738,"Almost in desperation she appealed , "" Will you meet","Almost in desperation she appealed , "" Will you meets",,
1739,"me at the gate , four o'clock tomorrow ? "" "" Why ? "" he","me at the gate , four oclock tomorrow ? "" "" Why ? "" he",,
1740,"enquired , combing his thick , tawny hair . "" To bring","anquired , combing his thick , tawny hair . "" To bring",,
1741,"me up for tea , of course . I just thought . "" "" I 'll see , ""","the up for tea , of course . I just thought . "" I 'll see , ",,
1742,"he told her , and suddenly seized her in an embrace","he told her , and suddenly seized her in an embrace",,
1743,"which really hurt . "" Without your ring it 's just like","which really hurk . "" Without your ring it's just like",,
1744,"kissing somebody else's girl , "" he decided wickedly ,","kissing somebody else's girl , "" he decided wickedly ,",,
1745,"and kissed her again , somewhat startled to","and Rissed her again , somewhat statled to",,
1746,receive a sharp slap for his pains .,reclivea a shorp slap for his pains .,,
1747,""" If I were somebody else's girl that 's",If I wore somebody elsie's girk that's i,,
1748,"what you 'd get , "" she flashed at him , and","What your'd get , "" she flashed at him , and",,
1749,"so had left him , on her dignity and not","so hat Left him , on her dignity and not",,
1750,seeing the look of admiration and revelation,seeing the look of admiration and revelation,,
1751,which had followed her slim young figure,which had forlowed her slim young figure,,
1752,"out of his sight . "" Mine , "" Nigel Lester had","out of his sight . "" Mine , "" Visel Lestor had",,
1753,"decided with a sigh of satisfaction , and","decided with a sigh of satis faction,and",,
1754,then regarded the ring which he retrieved,Athen regarded the ring which he retrieved,,
1755,"from his pocket . "" At a price , "" he concluded ,","from his porket . ' At a price , "" he concluded ,",,
1756,with some bitterness .,"with some bitternors """,,
1757,Thus had they parted the previous evening and now,Thus had they parted the previons evening and now,,
1758,Diana was trailing up the gravelled drive to the hospital,Dinna was trailing up the gravelled drive to the hosptal,,
